percentile,threshold,precision,recall,f1,false_positives,false_negatives
1,-0.11696705451481108,1.0,0.08163265306122448,0.1509433962264151,0,45
2,-0.06762145659101756,0.875,0.14285714285714285,0.24561403508771928,1,42
3,-0.062302749916476954,0.9166666666666666,0.22448979591836735,0.36065573770491804,1,38
5,-0.05119753764946631,0.7894736842105263,0.30612244897959184,0.4411764705882353,4,34
7,-0.043066999481231806,0.8518518518518519,0.46938775510204084,0.6052631578947368,4,26
10,-0.03425610406102808,0.8157894736842105,0.6326530612244898,0.7126436781609196,7,18
15,-0.02542595290854586,0.631578947368421,0.7346938775510204,0.6792452830188679,21,13
20,-0.01971350006478838,0.4868421052631579,0.7551020408163265,0.592,39,12
30,-0.012803574576340893,0.3274336283185841,0.7551020408163265,0.4567901234567901,76,12
40,-0.006686270282846161,0.25165562913907286,0.7755102040816326,0.38,113,11
50,-0.00038296802478710035,0.22872340425531915,0.8775510204081632,0.3628691983122363,145,6
60,0.01483432805205318,0.20353982300884957,0.9387755102040817,0.33454545454545453,180,3
70,0.02031640159518897,0.17803030303030304,0.9591836734693877,0.3003194888178914,217,2
default_0,0.0,0.225130890052356,0.8775510204081632,0.35833333333333334,148,6
