Date,target,score,threshold,is_anomaly,consecutive_anomalies,decision,reason
2020-12-02 17:25:03.604,0,0.009231878582197761,-0.011590401783097478,0,0,NORMAL,"Score above threshold, normal motor behavior"
2020-12-02 17:25:07.815,0,0.01691097393403629,-0.011590401783097478,0,0,NORMAL,"Score above threshold, normal motor behavior"
2020-12-02 17:25:12.211,0,0.025886651516613124,-0.011590401783097478,0,0,NORMAL,"Score above threshold, normal motor behavior"
2020-12-02 17:25:16.610,0,0.028957594683095944,-0.011590401783097478,0,0,NORMAL,"Score above threshold, normal motor behavior"
2020-12-02 17:25:21.015,0,0.022635645294246165,-0.011590401783097478,0,0,NORMAL,"Score above threshold, normal motor behavior"
2020-12-02 17:25:25.415,0,0.02797950509021685,-0.011590401783097478,0,0,NORMAL,"Score above threshold, normal motor behavior"
2020-12-02 17:25:29.816,0,0.017565704064224696,-0.011590401783097478,0,0,NORMAL,"Score above threshold, normal motor behavior"
2020-12-02 17:25:34.211,0,0.01967179186009521,-0.011590401783097478,0,0,NORMAL,"Score above threshold, normal motor behavior"
2020-12-02 17:25:38.615,0,0.021087905451875444,-0.011590401783097478,0,0,NORMAL,"Score above threshold, normal motor behavior"
2020-12-02 17:25:43.016,0,0.027860183687140383,-0.011590401783097478,0,0,NORMAL,"Score above threshold, normal motor behavior"
2020-12-02 17:25:47.452,0,0.02696133724743599,-0.011590401783097478,0,0,NORMAL,"Score above threshold, normal motor behavior"
2020-12-02 17:25:51.815,0,0.006983749435267583,-0.011590401783097478,0,0,NORMAL,"Score above threshold, normal motor behavior"
2020-12-02 17:25:56.211,0,0.012373848792715525,-0.011590401783097478,0,0,NORMAL,"Score above threshold, normal motor behavior"
2020-12-02 17:26:00.612,0,0.016479523888877967,-0.011590401783097478,0,0,NORMAL,"Score above threshold, normal motor behavior"
2020-12-02 17:26:05.012,0,0.021231282938123708,-0.011590401783097478,0,0,NORMAL,"Score above threshold, normal motor behavior"
2020-12-02 17:26:09.411,0,0.017187477658167638,-0.011590401783097478,0,0,NORMAL,"Score above threshold, normal motor behavior"
2020-12-02 17:26:13.811,0,0.020636271012045904,-0.011590401783097478,0,0,NORMAL,"Score above threshold, normal motor behavior"
2020-12-02 17:26:18.216,0,0.014160406935151582,-0.011590401783097478,0,0,NORMAL,"Score above threshold, normal motor behavior"
2020-12-02 17:26:22.616,0,0.014429260356767115,-0.011590401783097478,0,0,NORMAL,"Score above threshold, normal motor behavior"
2020-12-02 17:26:27.015,0,0.023282510503730702,-0.011590401783097478,0,0,NORMAL,"Score above threshold, normal motor behavior"
2020-12-02 17:26:31.552,0,0.025999115449538535,-0.011590401783097478,0,0,NORMAL,"Score above threshold, normal motor behavior"
2020-12-02 17:26:36.034,0,0.02936443621781426,-0.011590401783097478,0,0,NORMAL,"Score above threshold, normal motor behavior"
2020-12-02 17:26:40.412,0,0.02974602345509869,-0.011590401783097478,0,0,NORMAL,"Score above threshold, normal motor behavior"
